Comment,Designator,Footprint,LCSC
SN74LVC2G241DCY,U2,VSSOP-8_2.3x2mm_P0.5mm,C10430
0.1uF,"C2,C3",C_0603_1608Metric,C14663
10K,"R1,R2,R3",R_0603_1608Metric,C25804
SW_SPST,"SW1,SW2,SW3,SW5",SW_TH_Tactile_Omron_B3F-10xx,C2885087
SW_SPDT,SW4,SW_XKB_SS12D10L3,C319011
LM1117MP-5.0,U5,SOT-223-3_TabPin2,C498151
TXB0104PWR,U1,TSSOP-14_4.4x5mm_P0.65mm,C60708
10uF,"C1,C4",C_0603_1608Metric,C96446
R_Potentiometer,RV2,Potentiometer_Bourns_PTV09A-1_Single_Vertical,
T-Display-S3,U3,T-Display-S3,
Conn_01x03,J2,PinHeader_1x03_P2.54mm_Vertical,
R_Potentiometer,RV1,Potentiometer_Bourns_PTV09A-1_Single_Vertical,
Conn_01x03,J3,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x02,J1,PinHeader_1x02_P2.54mm_Vertical,
