Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,142.25,-73.0,180.0,top
C2,0.1uF,C_0603_1608Metric,142.25,-75.0,180.0,top
C3,22uF,C_0805_2012Metric,128.0,-74.0,-90.0,top
C4,22uF,C_0805_2012Metric,135.0,-74.0,-90.0,top
C5,220uF,CP_Elec_6.3x7.7,122.6,-66.0,90.0,top
D1,D_Schottky,D_SOD-323,131.4,-74.0,90.0,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,131.475,-64.0,0.0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,148.555,-64.0,0.0,top
J5,Conn_01x05,PinSocket_1x05_P2.54mm_Vertical,162.0,-62.25,180.0,top
R1,10K,R_0603_1608Metric,124.8,-74.0,-90.0,top
R2,10K,R_0603_1608Metric,122.8,-74.0,90.0,top
R3,10K,R_0603_1608Metric,152.0,-77.492554,90.0,top
SW1,SW_SPDT,SW_XKB_SS12D10L3,104.0,-95.0,90.0,top
SW2,SW_SPST,SW_TH_Tactile_Omron_B3F-10xx,117.5,-113.25,-90.0,top
SW3,SW_SPST,SW_TH_Tactile_Omron_B3F-10xx,132.5,-113.25,90.0,top
SW4,SW_SPST,SW_TH_Tactile_Omron_B3F-10xx,147.5,-113.25,90.0,top
SW5,SW_SPST,SW_TH_Tactile_Omron_B3F-10xx,162.5,-113.25,90.0,top
U1,TXB0104PWR,TSSOP-14_4.4x5mm_P0.65mm,147.5,-73.282934,0.0,top
U2,SN74LVC2G241DCY,VSSOP-8_2.3x2mm_P0.5mm,155.75,-74.5,180.0,top
